"case","year","n"
2573657,1873,1
6754779,1873,5
16535,1874,1
42587,1874,23
42739,1874,5
2005418,1874,3
2018108,1874,5
2036144,1874,10
2053443,1874,8
2065782,1874,9
2573657,1874,2
6754779,1874,3
16535,1875,3
42587,1875,26
42739,1875,2
2005418,1875,5
2018108,1875,3
2036144,1875,3
2053443,1875,2
2065782,1875,1
2573657,1875,2
6754779,1875,5
16535,1876,9
42587,1876,31
42739,1876,5
2005418,1876,4
2018108,1876,6
2036144,1876,7
2053443,1876,8
2065782,1876,7
2573657,1876,2
6754779,1876,7
16535,1877,5
42587,1877,24
42739,1877,2
2005418,1877,8
2018108,1877,9
2036144,1877,6
2053443,1877,4
2065782,1877,3
2573657,1877,3
6754779,1877,4
16535,1878,1
42587,1878,19
42739,1878,6
2005418,1878,1
2018108,1878,6
2036144,1878,5
2053443,1878,5
2065782,1878,4
2573657,1878,2
6754779,1878,2
16535,1879,5
42587,1879,18
42739,1879,4
2005418,1879,7
2018108,1879,9
2036144,1879,4
2053443,1879,5
2065782,1879,2
2573657,1879,1
6754779,1879,4
16535,1880,4
42587,1880,26
42739,1880,3
2005418,1880,8
2018108,1880,4
2036144,1880,9
2053443,1880,3
2065782,1880,6
2573657,1880,6
6754779,1880,5
16535,1881,6
42587,1881,21
42739,1881,5
2005418,1881,5
2018108,1881,11
2036144,1881,3
2053443,1881,5
2065782,1881,4
2573657,1881,5
6754779,1881,6
16535,1882,19
42587,1882,20
42739,1882,4
2005418,1882,8
2018108,1882,16
2036144,1882,11
2053443,1882,9
2065782,1882,10
2573657,1882,3
6754779,1882,6
16535,1883,4
42587,1883,23
42739,1883,4
2005418,1883,7
2018108,1883,7
2036144,1883,6
2053443,1883,6
2065782,1883,4
2573657,1883,4
6754779,1883,5
16535,1884,11
42587,1884,15
42739,1884,3
2005418,1884,6
2018108,1884,12
2036144,1884,2
2053443,1884,6
2065782,1884,7
2573657,1884,6
6754779,1884,8
16535,1885,5
42587,1885,21
42739,1885,2
2005418,1885,7
2018108,1885,3
2036144,1885,4
2053443,1885,5
2065782,1885,5
2573657,1885,6
6754779,1885,7
16535,1886,8
42587,1886,15
42739,1886,3
2005418,1886,4
2018108,1886,5
2036144,1886,7
2053443,1886,4
2065782,1886,9
2573657,1886,3
6754779,1886,6
16535,1887,4
42587,1887,14
42739,1887,7
2005418,1887,7
2018108,1887,7
2036144,1887,3
2053443,1887,6
2065782,1887,4
2573657,1887,3
6754779,1887,5
16535,1888,9
42587,1888,26
42739,1888,3
2005418,1888,6
2018108,1888,18
2036144,1888,9
2053443,1888,5
2065782,1888,10
2573657,1888,4
6754779,1888,8
16535,1889,6
42587,1889,11
42739,1889,6
2005418,1889,5
2018108,1889,10
2036144,1889,6
2053443,1889,6
2065782,1889,6
2573657,1889,2
6754779,1889,7
16535,1890,5
42587,1890,16
42739,1890,6
2005418,1890,1
2018108,1890,10
2036144,1890,4
2053443,1890,1
2065782,1890,4
2573657,1890,3
6754779,1890,7
16535,1891,8
42587,1891,18
42739,1891,3
2005418,1891,2
2018108,1891,5
2036144,1891,3
2053443,1891,3
2065782,1891,2
2573657,1891,3
6754779,1891,4
16535,1892,10
42587,1892,13
42739,1892,5
2005418,1892,13
2018108,1892,10
2036144,1892,6
2053443,1892,5
2065782,1892,7
2573657,1892,3
6754779,1892,6
16535,1893,7
42587,1893,17
42739,1893,7
2005418,1893,3
2018108,1893,6
2036144,1893,7
2053443,1893,6
2065782,1893,5
2573657,1893,6
6754779,1893,6
16535,1894,14
42587,1894,11
42739,1894,3
2005418,1894,3
2018108,1894,13
2036144,1894,10
2053443,1894,4
2065782,1894,8
2573657,1894,7
6754779,1894,12
16535,1895,6
42587,1895,22
42739,1895,9
2005418,1895,9
2018108,1895,5
2036144,1895,2
2053443,1895,8
2065782,1895,7
2573657,1895,8
6754779,1895,7
16535,1896,11
42587,1896,18
42739,1896,7
2005418,1896,7
2018108,1896,13
2036144,1896,4
2053443,1896,5
2065782,1896,10
2573657,1896,6
6754779,1896,7
16535,1897,9
42587,1897,18
42739,1897,9
2005418,1897,10
2018108,1897,14
2036144,1897,2
2053443,1897,3
2065782,1897,6
2573657,1897,6
6754779,1897,7
16535,1898,9
42587,1898,14
42739,1898,4
2005418,1898,5
2018108,1898,7
2036144,1898,4
2053443,1898,3
2065782,1898,5
2573657,1898,6
6754779,1898,5
16535,1899,5
42587,1899,18
42739,1899,7
2005418,1899,9
2018108,1899,8
2036144,1899,7
2053443,1899,4
2065782,1899,9
2573657,1899,6
6754779,1899,3
16535,1900,8
42587,1900,13
42739,1900,3
2005418,1900,7
2018108,1900,12
2036144,1900,4
2053443,1900,8
2065782,1900,8
2573657,1900,6
6754779,1900,5
16535,1901,7
42587,1901,12
42739,1901,10
2005418,1901,4
2018108,1901,3
2036144,1901,4
2065782,1901,6
2573657,1901,5
6754779,1901,4
16535,1902,10
42587,1902,15
42739,1902,7
2005418,1902,5
2018108,1902,7
2036144,1902,7
2053443,1902,6
2065782,1902,7
2573657,1902,14
6754779,1902,7
16535,1903,10
42587,1903,18
42739,1903,6
2005418,1903,1
2018108,1903,8
2036144,1903,3
2053443,1903,5
2065782,1903,4
2573657,1903,12
6754779,1903,6
16535,1904,3
42587,1904,19
42739,1904,11
2005418,1904,6
2018108,1904,11
2036144,1904,4
2053443,1904,4
2065782,1904,7
2573657,1904,14
6754779,1904,7
16535,1905,13
42587,1905,22
42739,1905,8
2005418,1905,4
2018108,1905,8
2036144,1905,6
2053443,1905,6
2065782,1905,4
2573657,1905,11
6754779,1905,8
16535,1906,9
42587,1906,9
42739,1906,4
2005418,1906,3
2018108,1906,2
2036144,1906,4
2053443,1906,3
2065782,1906,7
2573657,1906,5
16535,1907,12
42587,1907,17
42739,1907,11
2005418,1907,3
2018108,1907,7
2036144,1907,5
2053443,1907,5
2065782,1907,7
2573657,1907,5
6754779,1907,8
16535,1908,14
42587,1908,23
42739,1908,10
2005418,1908,7
2018108,1908,14
2036144,1908,7
2053443,1908,5
2065782,1908,7
2573657,1908,12
6754779,1908,10
16535,1909,9
42587,1909,9
42739,1909,7
2005418,1909,1
2018108,1909,7
2036144,1909,1
2053443,1909,1
2065782,1909,9
2573657,1909,14
6754779,1909,2
16535,1910,5
42587,1910,25
42739,1910,7
2005418,1910,1
2018108,1910,3
2053443,1910,2
2065782,1910,4
2573657,1910,12
6754779,1910,2
16535,1911,2
42587,1911,21
42739,1911,10
2005418,1911,7
2018108,1911,12
2036144,1911,1
2053443,1911,4
2065782,1911,6
2573657,1911,12
6754779,1911,7
16535,1912,4
42587,1912,20
42739,1912,10
2005418,1912,10
2018108,1912,4
2036144,1912,4
2053443,1912,1
2065782,1912,8
2573657,1912,10
6754779,1912,2
16535,1913,13
42587,1913,13
42739,1913,4
2005418,1913,8
2018108,1913,14
2036144,1913,12
2053443,1913,9
2065782,1913,13
2573657,1913,8
6754779,1913,11
16535,1914,8
42587,1914,13
42739,1914,4
2005418,1914,1
2018108,1914,9
2036144,1914,6
2053443,1914,5
2065782,1914,8
2573657,1914,9
6754779,1914,3
16535,1915,3
42587,1915,8
42739,1915,5
2005418,1915,4
2018108,1915,4
2036144,1915,4
2053443,1915,2
2065782,1915,4
2573657,1915,9
6754779,1915,5
16535,1916,6
42587,1916,6
42739,1916,1
2005418,1916,2
2018108,1916,8
2065782,1916,6
2573657,1916,5
6754779,1916,1
16535,1917,10
42587,1917,1
42739,1917,5
2005418,1917,1
2018108,1917,5
2036144,1917,5
2053443,1917,4
2065782,1917,6
2573657,1917,2
6754779,1917,4
16535,1918,6
42587,1918,3
42739,1918,2
2005418,1918,5
2018108,1918,6
2036144,1918,1
2053443,1918,1
2065782,1918,2
2573657,1918,5
6754779,1918,1
16535,1919,8
42587,1919,6
42739,1919,2
2005418,1919,3
2018108,1919,1
2053443,1919,4
2573657,1919,3
6754779,1919,1
16535,1920,3
42587,1920,10
42739,1920,4
2005418,1920,1
2018108,1920,5
2036144,1920,2
2053443,1920,3
2065782,1920,4
2573657,1920,13
6754779,1920,5
16535,1921,3
42587,1921,10
42739,1921,3
2005418,1921,2
2018108,1921,3
2036144,1921,4
2065782,1921,7
2573657,1921,16
6754779,1921,2
16535,1922,4
42587,1922,8
42739,1922,7
2005418,1922,4
2018108,1922,4
2036144,1922,2
2053443,1922,1
2065782,1922,2
2573657,1922,13
6754779,1922,1
16535,1923,11
42587,1923,11
42739,1923,11
2005418,1923,6
2018108,1923,11
2036144,1923,4
2053443,1923,2
2065782,1923,2
2573657,1923,9
6754779,1923,5
16535,1924,8
42587,1924,10
42739,1924,6
2005418,1924,6
2018108,1924,4
2036144,1924,2
2053443,1924,2
2065782,1924,4
2573657,1924,9
6754779,1924,5
16535,1925,3
42587,1925,8
42739,1925,2
2005418,1925,4
2018108,1925,6
2036144,1925,2
2053443,1925,4
2065782,1925,4
2573657,1925,12
6754779,1925,3
2005418,,1
6754779,,1
